Geração;Aptidão(f(x))
1;255.0073852539
2;216.7847290039
3;216.7847290039
4;216.7847290039
5;216.7847290039
6;216.7847290039
7;216.7847290039
8;216.7847290039
9;149.7144165039
10;149.2553911242
