Geração;Aptidão(f(x))
1;597.6057281494
2;597.6057281494
3;483.5182037354
4;513.1104888916
5;513.1104888916
6;514.8786773682
7;766.4021148682
8;766.4021148682
9;766.4021148682
10;767.2747272772
