Geração;Aptidão(f(x))
1;337.2407379150
2;335.0977172852
3;335.0977172852
4;335.0977172852
5;335.0977172852
6;335.0977172852
7;335.0977172852
8;357.8223967367
9;357.7763291821
10;351.9042870030
