Geração;Aptidão(f(x))
1;243.9414062500
2;323.7842407227
3;234.3125000000
4;796.9459381104
5;461.4839019775
6;740.6977691650
7;829.2111816406
8;874.7678222656
9;313.3552398682
10;277.9747448976
