Geração;Aptidão(f(x))
1;361.2671508789
2;361.2671508789
3;361.2671508789
4;361.2671508789
5;361.2671508789
6;361.2671508789
7;361.2671508789
8;359.7873535156
9;359.7873535156
10;359.7873535156
