Geração;Aptidão(f(x))
1;141.2851562500
2;141.2216273155
3;141.2216273155
4;141.2792983670
5;165.5536543597
6;165.5536543597
7;165.5477956870
8;165.5458428194
9;172.6196675231
10;172.6196675231
