Geração;Aptidão(f(x))
1;335.0977172852
2;337.4713536306
3;338.9043404861
4;362.2464449495
5;362.2464449495
6;362.2464449495
7;362.2464449495
8;362.0610513702
9;362.0610513702
10;362.0610513702
