Geração;Aptidão(f(x))
1;178.5568847656
2;178.5568847656
3;170.3439941406
4;169.8747628483
5;169.8747628483
6;169.8747628483
7;169.8743044945
8;169.8743044945
9;169.8703475245
10;169.8703629511
