Geração;Aptidão(f(x))
1;184.3165435791
2;264.4178619385
3;174.4260253906
4;375.4774322510
5;375.4774322510
6;403.1574859619
7;351.0674746016
8;949.6210086212
9;427.1536433750
10;933.4230141059
