Geração;Aptidão(f(x))
1;285.7251586914
2;285.2432362573
3;141.8706624047
4;141.8706624047
5;141.9573744783
6;141.9573744783
7;141.9573744783
8;141.9573744783
9;207.4119719514
10;207.4119719514
