Geração;Aptidão(f(x))
1;216.2122955322
2;496.4649047852
3;496.0628107377
4;495.1947099157
5;464.4511980005
6;466.1332309433
7;466.1332309433
8;521.5696132370
9;521.6252776981
10;521.6252776981
