Geração;Normalizado(x);Aptidão(f(x))
1;1.7693059629;1.8225257016
2;1.7693059629;1.8225257016
3;1.7693059629;1.8225257016
4;1.4760508309;1.7505735627
5;1.4760508309;1.7505735627
6;1.4760508309;1.7505735627
7;1.4760508309;1.7505735627
8;1.4760508309;1.7505735627
9;1.4760508309;1.7505735627
10;1.4760508309;1.7505735627
