Geração;Normalizado(x);Aptidão(f(x))
1;1.4760508309;1.7505735627
2;1.4760508309;1.7505735627
3;1.4760508309;1.7505735627
4;1.4760508309;1.7505735627
5;1.4956011730;1.7500193497
6;1.4956011730;1.7500193497
7;1.4956011730;1.7500193497
8;1.4956011730;1.7500193497
9;1.4956011730;1.7500193497
10;1.4956011730;1.7500193497
